task,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_bs,test_bs_mcb,test_bs_dsc,test_bs_unc,test_balanced_accuracy,test_task_accuracy,test_runtime,test_samples_per_second,test_steps_per_second,instance_count,test_conf_distribution_accuracy,test_conf_distribution_precision,test_conf_distribution_recall,test_conf_distribution_f1,test_conf_distribution_roc_auc,test_conf_distribution_bs,test_conf_distribution_bs_mcb,test_conf_distribution_bs_dsc,test_conf_distribution_bs_unc,test_conf_distribution_balanced_accuracy,test_conf_normalized_accuracy,test_conf_normalized_precision,test_conf_normalized_recall,test_conf_normalized_f1,test_conf_normalized_roc_auc,test_conf_normalized_bs,test_conf_normalized_bs_mcb,test_conf_normalized_bs_dsc,test_conf_normalized_bs_unc,test_conf_normalized_balanced_accuracy,test_conf_absolute_accuracy,test_conf_absolute_precision,test_conf_absolute_recall,test_conf_absolute_f1,test_conf_absolute_roc_auc,test_conf_absolute_bs,test_conf_absolute_bs_mcb,test_conf_absolute_bs_dsc,test_conf_absolute_bs_unc,test_conf_absolute_balanced_accuracy
implicatures,0.665404677391052,0.6173469387755101,0.7044534412955461,0.6932270916334661,0.698795180722891,0.5979768867791241,0.23628875571031202,0.017036487348682003,0.011061923641701001,0.23031419200333103,0.5877482975897821,0.640306122448979,6.4976,60.33,7.541,392.0,0.640306122448979,0.640306122448979,1.0,0.7807153965785381,0.567842106750303,0.22706684714702202,0.0,0.0032473448563090004,0.23031419200333103,0.5,0.640306122448979,0.640306122448979,1.0,0.7807153965785381,0.6372524088044981,0.216159822105249,0.006408246810264,0.020562616708346002,0.23031419200333103,0.5,0.60969387755102,0.671328671328671,0.764940239043824,0.715083798882681,0.627673702353705,0.2197853488168,0.010449409861852001,0.020978253048383,0.23031419200333103,0.5491367861885791
implicit_relations,0.47723698616027804,0.808823529411764,0.0,0.0,0.0,0.612587412587412,0.15287103496717902,0.010959270261297002,0.012716262975778,0.15462802768166,0.5,0.191176470588235,1.1746,57.891,7.662,68.0,0.808823529411764,0.0,0.0,0.0,0.535664335664335,0.153979238754325,0.0,0.0006487889273350001,0.15462802768166,0.5,0.6029411764705881,0.25,0.538461538461538,0.34146341463414603,0.59020979020979,0.289803593149203,0.144802726640984,0.009627161173441002,0.15462802768166,0.578321678321678,0.7352941176470581,0.30769230769230704,0.30769230769230704,0.30769230769230704,0.5720279720279721,0.19187291257997202,0.047013632661108,0.009768747762796001,0.15462802768166,0.5720279720279721
intent_recognition,0.6292400956153871,0.640287769784172,0.7935483870967741,0.6439790575916231,0.710982658959537,0.6809442137569951,0.21988829019369502,0.028450404367514004,0.023574277105344002,0.21501216293152503,0.6380814828188001,0.68705035971223,9.2055,60.399,7.604,556.0,0.68705035971223,0.68705035971223,1.0,0.8144989339019191,0.6652073178070651,0.198385176750685,0.0,0.016626986180839,0.21501216293152503,0.5,0.7464028776978411,0.809768637532133,0.8246073298429321,0.817120622568093,0.7777878076668471,0.173314838857545,0.007149725961919,0.048847050035899,0.21501216293152503,0.6996599867605461,0.672661870503597,0.8311258278145691,0.6570680628272251,0.7339181286549701,0.74956369982548,0.19992691997047002,0.024615185504516003,0.039700428465571,0.21501216293152503,0.6819823072756811
international_phonetic_alphabet_nli,0.6732490658760071,0.59,0.32,0.25,0.280701754385964,0.530330882352941,0.24023108273804403,0.034846467353428,0.012215384615384002,0.21759999999999902,0.5,0.32,1.714,58.344,7.585,100.0,0.68,0.0,0.0,0.0,0.545955882352941,0.21599999999999903,0.0,0.0016,0.21759999999999902,0.5,0.29,0.275862068965517,0.75,0.403361344537815,0.326746323529411,0.40703953769529205,0.195114071856783,0.00567453416149,0.21759999999999902,0.41176470588235203,0.52,0.30000000000000004,0.375,0.33333333333333304,0.5174632352941171,0.26733712087655404,0.07319633412707201,0.023459213250517003,0.21759999999999902,0.48161764705882304
intersect_geometry,0.38927587866783103,0.8529411764705881,0.0,0.0,0.0,0.7078783524904211,0.11532964204295501,0.0067775437586950005,0.016880427667297002,0.12543252595155702,0.5,0.14705882352941102,13.6861,59.623,7.453,816.0,0.8529411764705881,0.0,0.0,0.0,0.514655172413793,0.12538446751249502,0.0,4.805843906188768e-05,0.12543252595155702,0.5,0.850490196078431,0.42857142857142805,0.05,0.08955223880597,0.7618534482758621,0.11407652796985202,0.004449543239233,0.015805541220938,0.12543252595155702,0.519252873563218,0.8529411764705881,0.5,0.05,0.09090909090909001,0.763481800766283,0.11346921279666801,0.0037349085043290003,0.015698221659217002,0.12543252595155702,0.5206896551724131
irony_identification,0.6944666504859921,0.47500000000000003,0.423076923076923,0.647058823529411,0.511627906976744,0.535166240409207,0.250649738611437,0.019697357659056003,0.013422619047618002,0.244374999999999,0.49744245524296604,0.425,1.3509,59.221,7.4030000000000005,80.0,0.6000000000000001,0.55,0.323529411764705,0.40740740740740705,0.602301790281329,0.23625000000000002,0.0,0.008124999999999001,0.244374999999999,0.5639386189258311,0.425,0.425,1.0,0.5964912280701751,0.37595907928388705,0.36940979111780603,0.129231219689234,0.004196428571428001,0.244374999999999,0.5,0.375,0.36666666666666603,0.647058823529411,0.468085106382978,0.36317135549872104,0.324703327958174,0.090353129545475,0.010024801587301001,0.244374999999999,0.41048593350383605
language_games,0.10379905998706801,0.9734042553191491,0.0,0.0,0.0,0.7650273224043711,0.024656497569986002,0.0010307566830730001,0.0022626701588090003,0.025888411045722003,0.5,0.026595744680851,6.2475,60.184,7.523,376.0,0.9734042553191491,0.0,0.0,0.0,0.808196721311475,0.024728383884110004,0.0,0.001160027161611,0.025888411045722003,0.5,0.026595744680851,0.026595744680851,1.0,0.051813471502590004,0.5,0.9734042553191491,0.9475158442734261,0.0,0.025888411045722003,0.5,0.9893617021276591,1.0,0.6000000000000001,0.7499999999999991,0.9904371584699451,0.009549125175728,0.0030479431426310003,0.019387229012625,0.025888411045722003,0.8
linguistic_mappings,0.279553085565567,0.8860103626943001,0.8674948240165631,0.945823927765237,0.9049676025917921,0.9525136023382981,0.08404020546707301,0.008306112138452,0.16881441804081201,0.244548511369432,0.8756475261926481,0.5738341968911911,12.7407,60.593,7.6129999999999995,772.0,0.5738341968911911,0.5738341968911911,1.0,0.7292181069958841,0.553630606461882,0.24195280410212303,0.0,0.002595707267309,0.244548511369432,0.5,0.5738341968911911,0.5738341968911911,1.0,0.7292181069958841,0.5,0.42616580310880803,0.18161729173937502,0.0,0.244548511369432,0.5,0.904145077720207,0.940334128878281,0.8893905191873581,0.91415313225058,0.9623114026360741,0.081137567901502,0.016412147915634,0.179823091383564,0.244548511369432,0.9067013386210351
list_functions,0.41038236021995506,0.8296178343949041,1.0,0.069565217391304,0.130081300813008,0.7704381727265021,0.12844843252246302,0.012369112018977,0.033508390965539,0.14958771146902503,0.5347826086956521,0.18312101910828002,10.4225,60.254,7.58,628.0,0.8168789808917191,0.0,0.0,0.0,0.5652004407153141,0.148342731956671,0.0,0.001244979512353,0.14958771146902503,0.5,0.18312101910828002,0.18312101910828002,1.0,0.309555854643337,0.5,0.8168789808917191,0.667291269422694,0.0,0.14958771146902503,0.5,0.8805732484076431,0.976190476190476,0.356521739130434,0.522292993630573,0.9656750572082381,0.077948698467886,0.028362650861071002,0.100001663862209,0.14958771146902503,0.6772862106958211
logical_args,0.6495285630226131,0.625,0.0,0.0,0.0,0.548148148148148,0.22759898826065803,0.053256882997500005,0.06003289473684201,0.234375,0.5,0.375,0.4303,55.772,6.971,24.0,0.708333333333333,0.6666666666666661,0.44444444444444403,0.533333333333333,0.7000000000000001,0.201388888888888,0.0,0.032986111111111,0.234375,0.655555555555555,0.6666666666666661,0.533333333333333,0.8888888888888881,0.6666666666666661,0.681481481481481,0.301416356036237,0.137353856036237,0.0703125,0.234375,0.711111111111111,0.583333333333333,0.42857142857142805,0.33333333333333304,0.375,0.533333333333333,0.271189607216656,0.074761035788085,0.037946428571428006,0.234375,0.533333333333333
