value,assessor_size,size,metric
0.0815867407428974,base,8b,bs_mcb-absolute-self
0.0779506157992458,base,27b,bs_mcb-absolute-self
0.0828357661226028,base,128b,bs_mcb-absolute-self
0.1877462086314121,base,2m,bs_mcb-normalised-self
0.117699681215713,base,16m,bs_mcb-normalised-self
0.1118331392631485,base,53m,bs_mcb-normalised-self
0.1185887728348425,base,125m,bs_mcb-normalised-self
0.1040762313173954,base,244m,bs_mcb-normalised-self
0.0943987422239938,base,422m,bs_mcb-normalised-self
0.0952539243581137,base,1b,bs_mcb-normalised-self
0.0812878591531372,base,2b,bs_mcb-normalised-self
0.0959697084690252,base,4b,bs_mcb-normalised-self
0.0938872990301286,base,8b,bs_mcb-normalised-self
0.0919396936220788,base,27b,bs_mcb-normalised-self
0.1014761651797331,base,128b,bs_mcb-normalised-self
0.0,base,2m,bs_mcb-task-static
0.0,base,16m,bs_mcb-task-static
0.0,base,53m,bs_mcb-task-static
0.0,base,125m,bs_mcb-task-static
0.0,base,244m,bs_mcb-task-static
0.0,base,422m,bs_mcb-task-static
0.0,base,1b,bs_mcb-task-static
0.0,base,2b,bs_mcb-task-static
0.0,base,4b,bs_mcb-task-static
0.0,base,8b,bs_mcb-task-static
0.0,base,27b,bs_mcb-task-static
0.0,base,128b,bs_mcb-task-static
0.4953334331512451,large,2m,loss
0.4852517247200012,large,16m,loss
0.4862359762191772,large,53m,loss
0.4720595777034759,large,125m,loss
0.484793096780777,large,244m,loss
0.4918721914291382,large,422m,loss
0.4875190854072571,large,1b,loss
0.502862274646759,large,2b,loss
0.5289152264595032,large,4b,loss
0.5025051832199097,large,8b,loss
0.5171213746070862,large,27b,loss
0.5054906606674194,large,128b,loss
0.7904599811381563,large,2m,roc_auc
0.7937785621872121,large,16m,roc_auc
0.8001350587561239,large,53m,roc_auc
0.8064368135142931,large,125m,roc_auc
0.7900117951382309,large,244m,roc_auc
0.8020395982015264,large,422m,roc_auc
0.8029751353319773,large,1b,roc_auc
0.7914730865303875,large,2b,roc_auc
0.7617423947335952,large,4b,roc_auc
0.7881005793397846,large,8b,roc_auc
0.793581415581817,large,27b,roc_auc
0.7907352960658705,large,128b,roc_auc
